Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,WCA Round,Census Year,Unit,Value,Flag,Flag Description,Note
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270035","Holdings with land size 4-<5","2010","2012","No","2785","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","008","Albania","50260","Area","270036","Holdings with land size 5-<10","2010","2012","ha","11573","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270036","Holdings with land size 5-<10","2010","2012","No","1665","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","50260","Area","270037","Holdings with land size 10-<20","2010","2012","ha","77769","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270037","Holdings with land size 10-<20","2010","2012","No","1871","A","Official figure",""
"WCAD","Structural data from agricultural censuses","012","Algeria","50260","Area","270030","Holdings with land size 0-<1","2000","2001","ha","70516","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270030","Holdings with land size 0-<1","2000","2001","No","223115","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","50260","Area","270031","Holdings with land size 1-<2","2000","2001","ha","162315","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270031","Holdings with land size 1-<2","2000","2001","No","128864","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","50260","Area","270033","Holdings with land size 2-<5","2000","2001","ha","722275","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270033","Holdings with land size 2-<5","2000","2001","No","239844","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","50260","Area","270036","Holdings with land size 5-<10","2000","2001","ha","1200598","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270036","Holdings with land size 5-<10","2000","2001","No","181267","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","50260","Area","270037","Holdings with land size 10-<20","2000","2001","ha","1896466","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270037","Holdings with land size 10-<20","2000","2001","No","142980","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","50260","Area","270038","Holdings with land size 20-<50","2000","2001","ha","2484971","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270038","Holdings with land size 20-<50","2000","2001","No","88130","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","50260","Area","270039","Holdings with land size 50-<100","2000","2001","ha","930765","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","270039","Holdings with land size 50-<100","2000","2001","No","14294","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","50260","Area","2700300","Holdings with land size 100-<200","2000","2001","ha","532146","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","2700300","Holdings with land size 100-<200","2000","2001","No","4063","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","50260","Area","2700301","Holdings with land size 200-<500","2000","2001","ha","458628","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","012","Algeria","60850","Number","2700301","Holdings with land size 200-<500","2000","2001","No","1242","A","Official figure","Agricultural area"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270030","Holdings with land size 0-<1","1990","1990","ha","35","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270030","Holdings with land size 0-<1","1990","1990","No","77","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270030","Holdings with land size 0-<1","2000","2003","ha","1511","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270030","Holdings with land size 0-<1","2000","2003","No","4064","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270030","Holdings with land size 0-<1","2010","2008","ha","2130","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270030","Holdings with land size 0-<1","2010","2008","No","4093","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270030","Holdings with land size 0-<1","2020","2018","ha","2369","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270030","Holdings with land size 0-<1","2020","2018","No","5225","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270031","Holdings with land size 1-<2","1990","1990","ha","116","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270031","Holdings with land size 1-<2","1990","1990","No","87","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270031","Holdings with land size 1-<2","2000","2003","ha","2245","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270031","Holdings with land size 1-<2","2000","2003","No","1867","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270031","Holdings with land size 1-<2","2010","2008","ha","1439","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270031","Holdings with land size 1-<2","2010","2008","No","889","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270031","Holdings with land size 1-<2","2020","2018","ha","1043","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270031","Holdings with land size 1-<2","2020","2018","No","670","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270032","Holdings with land size 2-<3","2010","2008","ha","1082","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270032","Holdings with land size 2-<3","2010","2008","No","471","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270032","Holdings with land size 2-<3","2020","2018","ha","583","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270032","Holdings with land size 2-<3","2020","2018","No","250","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270033","Holdings with land size 2-<5","1990","1990","ha","268","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270033","Holdings with land size 2-<5","1990","1990","No","98","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270033","Holdings with land size 2-<5","2000","2003","ha","2352","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270033","Holdings with land size 2-<5","2000","2003","No","926","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270034","Holdings with land size 3-<4","2010","2008","ha","406","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270034","Holdings with land size 3-<4","2010","2008","No","112","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270034","Holdings with land size 3-<4","2020","2018","ha","224","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270034","Holdings with land size 3-<4","2020","2018","No","61","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270035","Holdings with land size 4-<5","2010","2008","ha","344","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270035","Holdings with land size 4-<5","2010","2008","No","76","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270035","Holdings with land size 4-<5","2020","2018","ha","147","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270035","Holdings with land size 4-<5","2020","2018","No","31","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270036","Holdings with land size 5-<10","1990","1990","ha","454","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270036","Holdings with land size 5-<10","1990","1990","No","77","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270036","Holdings with land size 5-<10","2000","2003","ha","1097","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270036","Holdings with land size 5-<10","2000","2003","No","189","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270036","Holdings with land size 5-<10","2010","2008","ha","829","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270036","Holdings with land size 5-<10","2010","2008","No","155","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270036","Holdings with land size 5-<10","2020","2018","ha","275","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270036","Holdings with land size 5-<10","2020","2018","No","67","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270037","Holdings with land size 10-<20","1990","1990","ha","340","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270037","Holdings with land size 10-<20","1990","1990","No","27","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270037","Holdings with land size 10-<20","2000","2003","ha","483","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270037","Holdings with land size 10-<20","2000","2003","No","40","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270037","Holdings with land size 10-<20","2010","2008","ha","1460","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270037","Holdings with land size 10-<20","2010","2008","No","45","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270037","Holdings with land size 10-<20","2020","2018","ha","12","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270037","Holdings with land size 10-<20","2020","2018","No","15","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270038","Holdings with land size 20-<50","1990","1990","ha","1136","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270038","Holdings with land size 20-<50","1990","1990","No","18","A","Official figure",""
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270038","Holdings with land size 20-<50","2000","2003","ha","261","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270038","Holdings with land size 20-<50","2000","2003","No","8","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","50260","Area","270038","Holdings with land size 20-<50","2020","2018","ha","918","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","016","American Samoa","60850","Number","270038","Holdings with land size 20-<50","2020","2018","No","8","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270066","Holdings without land","2020","2018","No","22340","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","50260","Area","270030","Holdings with land size 0-<1","2020","2018","ha","17682","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270030","Holdings with land size 0-<1","2020","2018","No","7457","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","032","Argentina","50260","Area","270031","Holdings with land size 1-<2","2020","2018","ha","16256","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270031","Holdings with land size 1-<2","2020","2018","No","6856","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","032","Argentina","50260","Area","270032","Holdings with land size 2-<3","2020","2018","ha","14475","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270032","Holdings with land size 2-<3","2020","2018","No","6105","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","032","Argentina","50260","Area","270033","Holdings with land size 2-<5","1990","1988","ha","148000","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270033","Holdings with land size 2-<5","1990","1988","No","57057","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","50260","Area","270034","Holdings with land size 3-<4","2020","2018","ha","13160","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270034","Holdings with land size 3-<4","2020","2018","No","5550","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","032","Argentina","50260","Area","270035","Holdings with land size 4-<5","2020","2018","ha","12139","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270035","Holdings with land size 4-<5","2020","2018","No","5120","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","032","Argentina","50260","Area","270036","Holdings with land size 5-<10","1990","1988","ha","247140","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270036","Holdings with land size 5-<10","1990","1988","No","31680","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","50260","Area","270036","Holdings with land size 5-<10","2020","2018","ha","118008","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270036","Holdings with land size 5-<10","2020","2018","No","15163","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","50260","Area","270037","Holdings with land size 10-<20","1990","1988","ha","612991","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270037","Holdings with land size 10-<20","1990","1988","No","39074","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","50260","Area","270037","Holdings with land size 10-<20","2020","2018","ha","360671","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270037","Holdings with land size 10-<20","2020","2018","No","20178","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","032","Argentina","50260","Area","270038","Holdings with land size 20-<50","1990","1988","ha","2053096","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270038","Holdings with land size 20-<50","1990","1988","No","59129","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","50260","Area","270038","Holdings with land size 20-<50","2020","2018","ha","1062267","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270038","Holdings with land size 20-<50","2020","2018","No","32367","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","032","Argentina","50260","Area","270039","Holdings with land size 50-<100","1990","1988","ha","3646960","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270039","Holdings with land size 50-<100","1990","1988","No","48006","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","50260","Area","270039","Holdings with land size 50-<100","2020","2018","ha","1915075","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","270039","Holdings with land size 50-<100","2020","2018","No","25226","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","50260","Area","2700300","Holdings with land size 100-<200","1990","1988","ha","6929412","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","2700300","Holdings with land size 100-<200","1990","1988","No","47083","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","50260","Area","2700300","Holdings with land size 100-<200","2020","2018","ha","3852557","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","2700300","Holdings with land size 100-<200","2020","2018","No","25824","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","50260","Area","2700301","Holdings with land size 200-<500","1990","1988","ha","15290155","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","2700301","Holdings with land size 200-<500","1990","1988","No","47772","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","50260","Area","2700301","Holdings with land size 200-<500","2020","2018","ha","10496821","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","2700301","Holdings with land size 200-<500","2020","2018","No","32020","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","50260","Area","2700302","Holdings with land size 500-<1000","1990","1988","ha","14870541","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","2700302","Holdings with land size 500-<1000","1990","1988","No","21101","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","50260","Area","2700302","Holdings with land size 500-<1000","2020","2018","ha","13287813","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","2700302","Holdings with land size 500-<1000","2020","2018","No","18592","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","50260","Area","2700303","Holdings with land size 1000-<2500","2020","2018","ha","24520569","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","2700303","Holdings with land size 1000-<2500","2020","2018","No","15400","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","032","Argentina","50260","Area","2700304","Holdings with land size >=1000","1990","1988","ha","133639103","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","2700304","Holdings with land size >=1000","1990","1988","No","27455","A","Official figure",""
"WCAD","Structural data from agricultural censuses","032","Argentina","50260","Area","2700305","Holdings with land size >=2500","2020","2018","ha","99124334","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","032","Argentina","60850","Number","2700305","Holdings with land size >=2500","2020","2018","No","11465","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","051","Armenia","60850","Number","270066","Holdings without land","2010","2014","No","14847","A","Official figure",""
"WCAD","Structural data from agricultural censuses","051","Armenia","50260","Area","270030","Holdings with land size 0-<1","2010","2014","ha","75217","A","Official figure",""
"WCAD","Structural data from agricultural censuses","051","Armenia","60850","Number","270030","Holdings with land size 0-<1","2010","2014","No","206338","A","Official figure",""
"WCAD","Structural data from agricultural censuses","051","Armenia","50260","Area","270031","Holdings with land size 1-<2","2010","2014","ha","106806","A","Official figure",""
"WCAD","Structural data from agricultural censuses","051","Armenia","60850","Number","270031","Holdings with land size 1-<2","2010","2014","No","69908","A","Official figure",""
"WCAD","Structural data from agricultural censuses","051","Armenia","50260","Area","270032","Holdings with land size 2-<3","2010","2014","ha","65797","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","051","Armenia","60850","Number","270032","Holdings with land size 2-<3","2010","2014","No","20796","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","051","Armenia","50260","Area","270034","Holdings with land size 3-<4","2010","2014","ha","55570","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","051","Armenia","60850","Number","270034","Holdings with land size 3-<4","2010","2014","No","17564","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","051","Armenia","50260","Area","270035","Holdings with land size 4-<5","2010","2014","ha","48083","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","051","Armenia","60850","Number","270035","Holdings with land size 4-<5","2010","2014","No","15198","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","051","Armenia","50260","Area","270036","Holdings with land size 5-<10","2010","2014","ha","84788","A","Official figure",""
"WCAD","Structural data from agricultural censuses","051","Armenia","60850","Number","270036","Holdings with land size 5-<10","2010","2014","No","12394","A","Official figure",""
"WCAD","Structural data from agricultural censuses","051","Armenia","50260","Area","270037","Holdings with land size 10-<20","2010","2014","ha","38337","A","Official figure",""
"WCAD","Structural data from agricultural censuses","051","Armenia","60850","Number","270037","Holdings with land size 10-<20","2010","2014","No","2901","A","Official figure",""
"WCAD","Structural data from agricultural censuses","051","Armenia","50260","Area","270038","Holdings with land size 20-<50","2010","2014","ha","23379","A","Official figure",""
"WCAD","Structural data from agricultural censuses","051","Armenia","60850","Number","270038","Holdings with land size 20-<50","2010","2014","No","868","A","Official figure",""
"WCAD","Structural data from agricultural censuses","051","Armenia","50260","Area","270039","Holdings with land size 50-<100","2010","2014","ha","11015","A","Official figure",""
"WCAD","Structural data from agricultural censuses","051","Armenia","60850","Number","270039","Holdings with land size 50-<100","2010","2014","No","153","A","Official figure",""
"WCAD","Structural data from agricultural censuses","051","Armenia","50260","Area","2700300","Holdings with land size 100-<200","2010","2014","ha","7034","A","Official figure",""
"WCAD","Structural data from agricultural censuses","051","Armenia","60850","Number","2700300","Holdings with land size 100-<200","2010","2014","No","58","A","Official figure",""
"WCAD","Structural data from agricultural censuses","051","Armenia","50260","Area","2700301","Holdings with land size 200-<500","2010","2014","ha","18373","A","Official figure",""
"WCAD","Structural data from agricultural censuses","051","Armenia","60850","Number","2700301","Holdings with land size 200-<500","2010","2014","No","38","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","50260","Area","270030","Holdings with land size 0-<1","2020","2015/16","ha","71","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270030","Holdings with land size 0-<1","2020","2015/16","No","599","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","50260","Area","270031","Holdings with land size 1-<2","2020","2015/16","ha","352","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270031","Holdings with land size 1-<2","2020","2015/16","No","288","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","50260","Area","270032","Holdings with land size 2-<3","2020","2015/16","ha","1965","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270032","Holdings with land size 2-<3","2020","2015/16","No","625","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270033","Holdings with land size 2-<5","1990","1989/90","No","3368","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","50260","Area","270034","Holdings with land size 3-<4","2020","2015/16","ha","1635","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270034","Holdings with land size 3-<4","2020","2015/16","No","520","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","036","Australia","50260","Area","270035","Holdings with land size 4-<5","2020","2015/16","ha","1408","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270035","Holdings with land size 4-<5","2020","2015/16","No","448","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270036","Holdings with land size 5-<10","1990","1989/90","No","3052","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","50260","Area","270036","Holdings with land size 5-<10","2020","2015/16","ha","12642","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270036","Holdings with land size 5-<10","2020","2015/16","No","1738","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270037","Holdings with land size 10-<20","1990","1989/90","No","4808","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","50260","Area","270037","Holdings with land size 10-<20","2020","2015/16","ha","44736","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270037","Holdings with land size 10-<20","2020","2015/16","No","3161","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270038","Holdings with land size 20-<50","1990","1989/90","No","9144","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","50260","Area","270038","Holdings with land size 20-<50","2020","2015/16","ha","225260","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270038","Holdings with land size 20-<50","2020","2015/16","No","6644","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270039","Holdings with land size 50-<100","1990","1989/90","No","12607","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","50260","Area","270039","Holdings with land size 50-<100","2020","2015/16","ha","512828","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","270039","Holdings with land size 50-<100","2020","2015/16","No","7034","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","2700300","Holdings with land size 100-<200","1990","1989/90","No","17415","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","50260","Area","2700300","Holdings with land size 100-<200","2020","2015/16","ha","1507843","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","2700300","Holdings with land size 100-<200","2020","2015/16","No","10441","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","60850","Number","2700301","Holdings with land size 200-<500","1990","1989/90","No","27615","A","Official figure",""
"WCAD","Structural data from agricultural censuses","036","Australia","50260","Area","2700301","Holdings with land size 200-<500","2020","2015/16","ha","5471100","A","Official figure",""
