country_iso_code,country_name,agricultural_census_decade,agricultural_census_year,total_area_ha,number_of_properties,farm_size_lower_limit,farm_size_upper_limit
76,Brazil,1990,1986,835816.0,619828,1,2
76,Brazil,1990,1986,3364936.0,1049666,2,5
76,Brazil,1990,1986,5462618.0,770723,5,10
76,Brazil,1990,1986,11345762.0,818157,10,20
76,Brazil,1990,1986,28179753.0,910075,20,50
76,Brazil,1990,1986,30153422.0,438192,50,100
76,Brazil,1990,1986,37456164.0,283503,100,200
76,Brazil,1990,1986,53145325.0,175003,200,500
76,Brazil,1990,1986,41292068.0,60112,500,1000
76,Brazil,2000,1996,280956.0,512032,0,1
76,Brazil,2000,1996,637186.0,471298,1,2
76,Brazil,2000,1996,2543527.0,796723,2,5
76,Brazil,2000,1996,4420526.0,622320,5,10
76,Brazil,2000,1996,9799204.0,701417,10,20
76,Brazil,2000,1996,25438629.0,814695,20,50
76,Brazil,2000,1996,27455753.0,400375,50,100
76,Brazil,2000,1996,32919190.0,246314,100,200
76,Brazil,2000,1996,50436030.0,165243,200,500
76,Brazil,2000,1996,40186297.0,58407,500,1000
76,Brazil,2010,2006,264829.0,606837,0,1
76,Brazil,2010,2006,563899.0,442163,1,2
76,Brazil,2010,2006,711147.0,319671,2,3
76,Brazil,2010,2006,826226.0,256148,3,4
76,Brazil,2010,2006,947784.0,215988,4,5
76,Brazil,2010,2006,4484892.0,636344,5,10
76,Brazil,2010,2006,10289758.0,736798,10,20
76,Brazil,2010,2006,26120877.0,843920,20,50
76,Brazil,2010,2006,26483343.0,390882,50,100
76,Brazil,2010,2006,29218870.0,219432,100,200
76,Brazil,2010,2006,46384925.0,150698,200,500
76,Brazil,2010,2006,37240391.0,54158,500,1000
76,Brazil,2010,2006,48640082.0,32242,1000,2500
76,Brazil,2020,2017,277313.0,606432,0,1
76,Brazil,2020,2017,593953.0,468288,1,2
76,Brazil,2020,2017,749072.0,336993,2,3
76,Brazil,2020,2017,840160.0,260945,3,4
76,Brazil,2020,2017,964885.0,220309,4,5
76,Brazil,2020,2017,4568586.0,650714,5,10
76,Brazil,2020,2017,10205797.0,730662,10,20
76,Brazil,2020,2017,26661932.0,855865,20,50
76,Brazil,2020,2017,26942917.0,394157,50,100
76,Brazil,2020,2017,29380636.0,218758,100,200
76,Brazil,2020,2017,44875314.0,147083,200,500
76,Brazil,2020,2017,38001742.0,54878,500,1000
76,Brazil,2020,2017,51848684.0,34338,1000,2500
100,Bulgaria,2000,2003,192600.0,512500,0,1
100,Bulgaria,2000,2003,241900.0,131800,2,5
100,Bulgaria,2000,2003,191100.0,16100,20,50
100,Bulgaria,2000,2003,2278900.0,5100,50,100
100,Bulgaria,2010,2010,47496.0,97166,0,1
100,Bulgaria,2010,2010,96684.0,197794,1,2
100,Bulgaria,2010,2010,30659.0,10301,2,3
100,Bulgaria,2010,2010,30502.0,10248,3,4
100,Bulgaria,2010,2010,29289.0,9841,4,5
100,Bulgaria,2010,2010,72700.0,10730,5,10
100,Bulgaria,2010,2010,92450.0,6820,10,20
100,Bulgaria,2010,2010,186220.0,6010,20,50
100,Bulgaria,2010,2010,201670.0,2930,50,100
100,Bulgaria,2010,2010,3687860.0,5490,100,200
100,Bulgaria,2020,2020,14606.0,18859,0,1
100,Bulgaria,2020,2020,29734.0,38391,1,2
100,Bulgaria,2020,2020,23761.0,7552,2,3
100,Bulgaria,2020,2020,23639.0,7513,3,4
100,Bulgaria,2020,2020,22700.0,7215,4,5
100,Bulgaria,2020,2020,86950.0,12230,5,10
100,Bulgaria,2020,2020,139370.0,9810,10,20
100,Bulgaria,2020,2020,397450.0,12340,20,50
100,Bulgaria,2020,2020,399030.0,5740,50,100
100,Bulgaria,2020,2020,3426910.0,7630,100,200
854,Burkina Faso,1990,1993,62504.0,114377,0,1
854,Burkina Faso,1990,1993,256963.0,172894,1,2
854,Burkina Faso,1990,1993,1201476.0,365295,2,5
854,Burkina Faso,1990,1993,1274404.0,186194,5,10
854,Burkina Faso,1990,1993,677133.0,47878,10,20
854,Burkina Faso,2010,2006,97070.0,151955,0,1
854,Burkina Faso,2010,2006,365914.0,236822,1,2
854,Burkina Faso,2010,2006,677990.0,199795,2,3
854,Burkina Faso,2010,2006,575168.0,169495,3,4
854,Burkina Faso,2010,2006,492963.0,145270,4,5
854,Burkina Faso,2010,2006,1854264.0,262004,5,10
854,Burkina Faso,2010,2006,1031929.0,75144,10,20
854,Burkina Faso,2010,2006,394806.0,13901,20,50
854,Burkina Faso,2010,2006,32462.0,471,50,100
132,Cabo Verde,2010,2015,11384.0,23005,0,1
132,Cabo Verde,2010,2015,9794.0,7019,1,2
132,Cabo Verde,2010,2015,3734.0,1361,2,3
132,Cabo Verde,2010,2015,3154.0,1149,3,4
132,Cabo Verde,2010,2015,2729.0,995,4,5
132,Cabo Verde,2010,2015,2475.0,380,5,10
132,Cabo Verde,2010,2015,1166.0,90,10,20
132,Cabo Verde,2010,2015,616.0,23,20,50
132,Cabo Verde,2010,2015,434.0,7,50,100
132,Cabo Verde,2010,2015,108.0,1,100,200
132,Cabo Verde,2010,2015,862.0,3,200,500
116,Cambodia,2010,2013,395290.0,869493,0,1
116,Cambodia,2010,2013,548232.0,314929,1,2
116,Cambodia,2010,2013,495915.0,284876,2,3
116,Cambodia,2010,2013,435701.0,250286,3,4
116,Cambodia,2010,2013,155958.0,28957,4,5
116,Cambodia,2010,2013,562557.0,104450,5,10
116,Cambodia,2010,2013,219428.0,18200,10,20
116,Cambodia,2010,2013,98307.0,3681,20,50
116,Cambodia,2010,2013,159995.0,840,50,100
124,Canada,2010,2011,1859.0,1061,0,1
124,Canada,2010,2011,5163.0,2949,1,2
124,Canada,2010,2011,7205.0,4115,2,3
124,Canada,2010,2011,8522.0,4867,3,4
124,Canada,2010,2011,16509.0,1202,4,5
124,Canada,2010,2011,93423.0,6800,5,10
124,Canada,2010,2011,194128.0,14129,10,20
124,Canada,2010,2011,986638.0,32187,20,50
124,Canada,2010,2011,2616841.0,37423,50,100
124,Canada,2010,2011,4729120.0,32947,100,200
124,Canada,2010,2011,10772229.0,33987,200,500
124,Canada,2010,2011,13262486.0,19071,500,1000
124,Canada,2010,2011,32118600.0,14993,1000,2500
124,Canada,2020,2016,1861.0,1078,0,1
124,Canada,2020,2016,5170.0,2994,1,2
124,Canada,2020,2016,7215.0,4179,2,3
124,Canada,2020,2016,8533.0,4942,3,4
124,Canada,2020,2016,16245.0,1177,4,5
124,Canada,2020,2016,91931.0,6661,5,10
124,Canada,2020,2016,191028.0,13840,10,20
124,Canada,2020,2016,925749.0,30443,20,50
124,Canada,2020,2016,2405308.0,34496,50,100
124,Canada,2020,2016,4326100.0,30193,100,200
124,Canada,2020,2016,9776067.0,30854,200,500
124,Canada,2020,2016,12051064.0,17235,500,1000
124,Canada,2020,2016,34426678.0,15400,1000,2500
152,Chile,2000,1997,20944.0,46295,0,1
152,Chile,2000,1997,43145.0,32175,1,2
152,Chile,2000,1997,174216.0,55949,2,5
152,Chile,2000,1997,355137.0,50176,5,10
152,Chile,2000,1997,672098.0,47936,10,20
152,Chile,2000,1997,1363334.0,43751,20,50
152,Chile,2000,1997,1290506.0,18771,50,100
152,Chile,2000,1997,1356763.0,9855,100,200
152,Chile,2000,1997,1985089.0,6475,200,500
152,Chile,2000,1997,1625089.0,2355,500,1000
152,Chile,2010,2006,17924.0,34699,0,1
152,Chile,2010,2006,66060.0,26756,1,2
152,Chile,2010,2006,54721.0,22164,2,3
152,Chile,2010,2006,47224.0,19127,3,4
152,Chile,2010,2006,41794.0,16928,4,5
152,Chile,2010,2006,325200.0,46139,5,10
152,Chile,2010,2006,595899.0,42611,10,20
152,Chile,2010,2006,1145153.0,36965,20,50
152,Chile,2010,2006,1028222.0,14911,50,100
152,Chile,2010,2006,1125248.0,8149,100,200
152,Chile,2010,2006,1736509.0,5677,200,500
152,Chile,2010,2006,1414035.0,2056,500,1000
152,Chile,2010,2006,22183702.0,2478,1000,2500
170,Colombia,1990,1988,93041.0,297681,0,1
170,Colombia,1990,1988,228550.0,185142,1,2
170,Colombia,1990,1988,992196.0,315796,2,5
170,Colombia,1990,1988,1589575.0,232498,5,10
170,Colombia,1990,1988,2504414.0,182621,10,20
170,Colombia,1990,1988,5171668.0,167864,20,50
170,Colombia,1990,1988,6063791.0,88304,50,100
170,Colombia,1990,1988,6500698.0,48230,100,200
170,Colombia,1990,1988,6980749.0,23707,200,500
170,Colombia,1990,1988,2758287.0,4233,500,1000
170,Colombia,2000,2001,191820.0,366244,0,1
170,Colombia,2000,2001,387632.0,273360,1,2
170,Colombia,2000,2001,1356816.0,428302,2,5
170,Colombia,2000,2001,2042050.0,291752,5,10
170,Colombia,2000,2001,3127283.0,225238,10,20
170,Colombia,2000,2001,6884453.0,219912,20,50
170,Colombia,2000,2001,7487517.0,108715,50,100
170,Colombia,2000,2001,7566533.0,55906,100,200
170,Colombia,2000,2001,11598122.0,40797,200,500
170,Colombia,2000,2001,10063227.0,11669,500,1000
170,Colombia,2010,2014,413354.0,319396,0,1
170,Colombia,2010,2014,480741.0,371466,1,2
170,Colombia,2010,2014,452426.0,349587,2,3
170,Colombia,2010,2014,421074.0,325361,3,4
170,Colombia,2010,2014,392753.0,303478,4,5
170,Colombia,2010,2014,1801601.0,253349,5,10
170,Colombia,2010,2014,2586753.0,118605,10,20
170,Colombia,2010,2014,4570212.0,209547,20,50
170,Colombia,2010,2014,4217217.0,60394,50,100
170,Colombia,2010,2014,4298793.0,21712,100,200
170,Colombia,2010,2014,5130882.0,25915,200,500
170,Colombia,2010,2014,3794994.0,5448,500,1000
170,Colombia,2010,2014,80432535.0,5842,1000,2500
178,Congo,2010,2014,34535.0,145268,0,1
178,Congo,2010,2014,75466.0,63257,1,2
178,Congo,2010,2014,61672.0,28684,2,3
178,Congo,2010,2014,21714.0,9939,3,4
178,Congo,2010,2014,15495.0,7092,4,5
178,Congo,2010,2014,42437.0,7080,5,10
178,Congo,2010,2014,83389.0,3454,10,20
184,Cook Islands,1990,1988,518.0,1286,0,1
184,Cook Islands,1990,1988,661.0,497,1,2
184,Cook Islands,1990,1988,1425.0,406,2,5
184,Cook Islands,2000,2000,445.0,1403,0,1
184,Cook Islands,2000,2000,301.0,236,1,2
184,Cook Islands,2000,2000,283.0,82,2,5
184,Cook Islands,2010,2011,117.0,792,0,1
184,Cook Islands,2010,2011,133.0,257,1,2
184,Cook Islands,2010,2011,73.0,79,2,3
184,Cook Islands,2010,2011,54.0,59,3,4
184,Cook Islands,2010,2011,39.0,42,4,5
184,Cook Islands,2010,2011,187.0,40,5,10
188,Costa Rica,2010,2014,6489.0,13683,0,1
188,Costa Rica,2010,2014,14503.0,11356,1,2
188,Costa Rica,2010,2014,19701.0,8673,2,3
188,Costa Rica,2010,2014,19782.0,6089,3,4
188,Costa Rica,2010,2014,23611.0,5556,4,5
188,Costa Rica,2010,2014,98630.0,14453,5,10
188,Costa Rica,2010,2014,145027.0,10755,10,20
188,Costa Rica,2010,2014,306568.0,10034,20,50
188,Costa Rica,2010,2014,324889.0,4774,50,100
188,Costa Rica,2010,2014,316388.0,2383,100,200
188,Costa Rica,2010,2014,1128666.0,2146,200,500
191,Croatia,2000,2003,81982.0,227761,0,1
191,Croatia,2000,2003,103484.0,71984,1,2
191,Croatia,2000,2003,276780.0,85985,2,5
191,Croatia,2000,2003,294253.0,42553,5,10
191,Croatia,2000,2003,210401.0,15765,10,20
191,Croatia,2000,2003,424722.0,5848,20,50
191,Croatia,2010,2010,33166.0,40374,0,1
191,Croatia,2010,2010,67514.0,82186,1,2
191,Croatia,2010,2010,60155.0,18788,2,3
191,Croatia,2010,2010,59847.0,18692,3,4
191,Croatia,2010,2010,57468.0,17949,4,5
191,Croatia,2010,2010,208860.0,30240,5,10
191,Croatia,2010,2010,188580.0,13880,10,20
191,Croatia,2010,2010,235390.0,7800,20,50
191,Croatia,2010,2010,154230.0,2290,50,100
191,Croatia,2010,2010,250790.0,850,100,200
191,Croatia,2020,2020,17341.0,18405,0,1
191,Croatia,2020,2020,35299.0,37465,1,2
191,Croatia,2020,2020,46193.0,14497,2,3
191,Croatia,2020,2020,45957.0,14423,3,4
191,Croatia,2020,2020,44130.0,13850,4,5
191,Croatia,2020,2020,146790.0,21340,5,10
191,Croatia,2020,2020,139260.0,10210,10,20
191,Croatia,2020,2020,207100.0,6690,20,50
191,Croatia,2020,2020,177430.0,2570,50,100
191,Croatia,2020,2020,372000.0,1490,100,200
196,Cyprus,1990,1994,23333.0,31308,1,2
196,Cyprus,1990,1994,38508.0,12336,2,5
196,Cyprus,1990,1994,36802.0,5427,5,10
196,Cyprus,1990,1994,26246.0,1982,10,20
196,Cyprus,1990,1994,22361.0,789,20,50
196,Cyprus,1990,1994,11153.0,170,50,100
196,Cyprus,1990,1994,19357.0,77,100,200
196,Cyprus,2000,2003,9954.0,24780,0,1
196,Cyprus,2000,2003,10633.0,7546,1,2
196,Cyprus,2000,2003,22554.0,7240,2,5
196,Cyprus,2000,2003,19652.0,2850,5,10
196,Cyprus,2000,2003,21197.0,1522,10,20
196,Cyprus,2000,2003,25723.0,845,20,50
196,Cyprus,2000,2003,17951.0,256,50,100
196,Cyprus,2000,2003,28716.0,160,100,200
196,Cyprus,2010,2010,6252.0,9458,0,1
196,Cyprus,2010,2010,12728.0,19252,1,2
196,Cyprus,2010,2010,5894.0,1905,2,3
196,Cyprus,2010,2010,5864.0,1895,3,4
196,Cyprus,2010,2010,5631.0,1820,4,5
196,Cyprus,2010,2010,13890.0,2030,5,10
196,Cyprus,2010,2010,13980.0,1010,10,20
196,Cyprus,2010,2010,19820.0,660,20,50
196,Cyprus,2010,2010,14570.0,220,50,100
196,Cyprus,2010,2010,19770.0,120,100,200
196,Cyprus,2020,2020,6058.0,7906,0,1
196,Cyprus,2020,2020,12332.0,16094,1,2
196,Cyprus,2020,2020,5583.0,1834,2,3
196,Cyprus,2020,2020,5554.0,1824,3,4
196,Cyprus,2020,2020,5333.0,1752,4,5
196,Cyprus,2020,2020,13880.0,2010,5,10
196,Cyprus,2020,2020,14080.0,1040,10,20
196,Cyprus,2020,2020,23110.0,760,20,50
196,Cyprus,2020,2020,20380.0,300,50,100
196,Cyprus,2020,2020,27830.0,160,100,200
203,Czechia,2000,2000,5137.0,16368,0,1
203,Czechia,2000,2000,11924.0,8697,1,2
203,Czechia,2000,2000,29879.0,9722,2,5
203,Czechia,2000,2000,43318.0,6225,5,10
203,Czechia,2000,2000,74474.0,5345,10,20
203,Czechia,2000,2000,134779.0,4379,20,50
203,Czechia,2000,2000,128596.0,1844,50,100
203,Czechia,2000,2000,154665.0,1105,100,200
203,Czechia,2000,2000,289745.0,902,200,500
203,Czechia,2000,2000,555147.0,752,500,1000
203,Czechia,2010,2010,600.0,652,0,1
203,Czechia,2010,2010,1220.0,1328,1,2
203,Czechia,2010,2010,1352.0,427,2,3
203,Czechia,2010,2010,1346.0,425,3,4
203,Czechia,2010,2010,1292.0,408,4,5
203,Czechia,2010,2010,29390.0,4180,5,10
203,Czechia,2010,2010,55590.0,3950,10,20
203,Czechia,2010,2010,138180.0,4370,20,50
203,Czechia,2010,2010,169360.0,2420,50,100
203,Czechia,2010,2010,3085160.0,4420,100,200
203,Czechia,2020,2020,820.0,1354,0,1
203,Czechia,2020,2020,1670.0,2756,1,2
203,Czechia,2020,2020,3017.0,922,2,3
203,Czechia,2020,2020,3001.0,917,3,4
203,Czechia,2020,2020,2882.0,881,4,5
203,Czechia,2020,2020,31660.0,4390,5,10
203,Czechia,2020,2020,60720.0,4300,10,20
203,Czechia,2020,2020,155540.0,4890,20,50
203,Czechia,2020,2020,213960.0,3030,50,100
203,Czechia,2020,2020,3019300.0,5000,100,200
384,Côte d'Ivoire,2000,2001,202483.0,470433,0,1
384,Côte d'Ivoire,2000,2001,235993.0,158933,1,2
384,Côte d'Ivoire,2000,2001,672454.0,215974,2,5
384,Côte d'Ivoire,2000,2001,967115.0,148516,5,10
384,Côte d'Ivoire,2000,2001,1178444.0,91416,10,20
384,Côte d'Ivoire,2000,2001,1095174.0,32395,20,50
180,Democratic Republic of the Congo,1990,1990,1500400.0,3882900,0,1
180,Democratic Republic of the Congo,1990,1990,552500.0,468100,1,2
180,Democratic Republic of the Congo,1990,1990,334800.0,128600,2,5
208,Denmark,1990,1989,95462.0,14749,5,10
208,Denmark,1990,1989,284791.0,19605,10,20
208,Denmark,1990,1989,1007856.0,31348,20,50
208,Denmark,1990,1989,818355.0,12162,50,100
208,Denmark,1990,1989,567663.0,3403,100,200
208,Denmark,2000,1999,3140.0,980,1,2
